creator_key,creator,title,media_type,publication_year,rating,period_of_my_life,tags,url
Wilde,Oscar Wilde,The Picture of Dorian Gray,Book,1890,Liked,20s,"{Fiction},{Literature}",
Wilson,Robert Charles Wilson,Spin,Book,2005,Liked,Teens,"{Fiction},{Science-Fiction}",
Wolf,Christa Wolf,Cassandra,Book,1983,Disliked,20s,"{Fiction},{Literature}",
Woolf,Virginia Woolf,Mrs. Dalloway,Book,1925,Liked,20s,"{Fiction},{Literature}",
Wright,Ronald Wright,A Short History of Progress,Book,2004,Indifferent,Teens,"{Non-Fiction},{Philosophy},{History}",
Wyndham,John Wyndham,The Chrysalids,Book,1955,Liked,Teens,"{Fiction},{Literature}",
Yudkowsky,Eliezer Yudkowsky,Inadequate Equilibria,Book,2017,Liked,20s,"{Non-Fiction},{Philosophy}",
Yudkowsky,Eliezer Yudkowsky,Rationality From AI to Zombies,Book,2015,Loved,20s,"{Non-Fiction},{Philosophy}",
Yudkowsky,Eliezer Yudkowsky,Harry Potter and the Methods of Rationality,Book,2015,Loved,20s,"{Fiction},{Fantasy}",
Yudkowsky,Eliezer Yudkowsky,Intelligent Characters,Book,2014,Loved,20s,{Writing},https://yudkowsky.tumblr.com/writing
Zinsser,William Zinsser,On Writing Well,Book,1976,Liked,20s,"{Non-Fiction},{Writing}",
